domain,comparison,sample,category,n,value
target,block_distribution,after,b4034a8875655cd15e50eaa490fb261f233ea22b565e09015a939db97889ab67,1150,0.010667012958101829
target,block_distribution,after,b226ebbd506ecb846f1f9f83e13c214f527bda9a49c0ccfad11e6336d9a0330c,1090,0.010110473151592168
target,block_distribution,after,5ad1ae7cea647f073a362b2289401892d0c93137bdc1e50bdff5f7942f3ff3f5,1209,0.011214277101169661
target,block_distribution,after,c6b0e8a90a70aade0ef3f6a67710e2a79a45a4fdd6a307bcfc770819a16c4acf,1876,0.017401144616868723
target,block_distribution,after,b966ce51305f668727789a337b564f3dcccd9d504cc0d87493f22f3c52ee16cf,1911,0.01772579283733269
target,block_distribution,after,438f158045b73e304a30d072f7e48623ecd17a1b609e15251fade1ce51ee917a,867,0.008042000204064596
target,block_distribution,after,25fc4abe8a45aed0a77f73894cb14318c371fc36ca885210c78907d594c0db75,368,0.003413444146592585
target,block_distribution,after,37e061fbc08470b17bb632243a192ffaba9f35ee2a30149f0201cdafeb34a65c,443,0.004109118904729661
target,block_distribution,after,8593baa26a8c21f9ee721547457cc658e41e2d8f4dccb461d2c58c9a36a4f652,49,0.00045450750864955617
target,block_distribution,after,11a06d81d132199eb3f19e6bacd2a6f2e0e1b915127a87c696d66d3dc8373bc4,38,0.0003524752107894517
target,block_distribution,after,1d8b0e0dc0c696f5fdd491bde627749c841c63ce85282e5466f078e31563011a,809,0.00750401172443859
target,block_distribution,after,4d8f15702a41028eaa4395f2e55e6192a690e16d9101865f5c0f6eed5eb6cdf2,1746,0.016195308369431123
target,block_distribution,after,9b478b5b037362315054560c38dc71b8e5354fe52ad681cdd43288430308dfed,1014,0.009405522730013265
target,block_distribution,after,056b70158855ed82f41196bf5d8f32283c593d7a1a66b68beb306a5b9820553d,826,0.007661698002949661
target,block_distribution,after,a011934e3de7ac06be47ff6ea243f22d7310085642a72557f2496f86e48a1a34,616,0.005713808680165849
target,block_distribution,after,26cf946beb92bba4181344021a1262e33676e14cd1d041491127c630e008fd1b,1246,0.011557476648517286
target,block_distribution,after,22c6b80832dfb6c00133ac8a9fcb898d1a848a7db37084df005c035986aa813d,1552,0.014395829661716554
target,block_distribution,after,45b24b8bc480ce3752604ddfc77d25be9ac19d7dacfa45e98a152479680687fa,1064,0.009869305902104648
target,block_distribution,after,9b0eeba8cfb1689c74da2860d1aea589ccc211008b9272adf58a50475fdb1be2,22,0.0002040645957202089
target,block_distribution,after,8497e746c990b12157c02ea96dbc4f8bff5302d848a08e5267d1bbed866677fd,779,0.00722574182118376
target,block_distribution,after,02e3748e2649f8d0dede049f9f9055f9860d56f7c8b00d256c6dac5e5e01189b,1350,0.012522145646467364
target,block_distribution,after,5cc3feb31cab0671db3102c0f6538ffb085c4a7ca8fe8ef3afc0b29821cb8ce3,808,0.0074947360609967624
target,block_distribution,after,d447f3757cac5492c16afa4231a32a0903c454408832b7488ec106eb71791e95,774,0.007179363503974622
target,block_distribution,after,62c4d71bcaa60795161f05335cecce2c16c0a1e64f7e2dcf67014ee47588c250,486,0.004507972432728251
target,block_distribution,after,4a824d0d38a43dad35849fa50ff09946d0d973168e8ef3204877859865ef4e02,1468,0.013616673932603029
target,block_distribution,after,3be3d2760549002cbceb4e1bd4b9a1dc27abceb5c1317b7ca4dbbbb4437cf342,1555,0.014423656652042037
target,block_distribution,after,8aad5493f65fbfa3ddac91597d6e8023b50ea0735f1756116a32e96dcbab238c,1,9.275663441827676e-06
target,block_distribution,after,e284458b413af369656c9d9201530be1520c22d2ca67bfc907317d7aaee2de5a,774,0.007179363503974622
target,block_distribution,after,56fee7a3a208003a5cf92097849ab0cb2f83393b0adaf661dc1d902fb1960f55,908,0.00842230240517953
target,block_distribution,after,917efd145700646a7de1ba77585c4993224d3b71aff9bf1d09bda99df2953924,426,0.00395143262621859
target,block_distribution,after,06a656238d9bd6d16952f36592a27fc563368c8a6d7c356cdac3027f7287aad2,1210,0.011223552764611488
target,block_distribution,after,5e9af3761335ba9082a5e1466ac976895f147845f54add1164d67731c91a3c2d,1489,0.013811462864881411
target,block_distribution,after,a0e8acd5229f4dc058a940a186aaf7f85938a6047cc2606129cc69e4d5b32807,501,0.004647107384355666
target,block_distribution,after,6346e15494fac388d71097d52b7f1b2e04e5150f3458b634b26d3577ba431979,104,0.0009646689979500784
target,block_distribution,after,898919ca854fd3f98797363698baed120df7486195c8c5b43284903c10d416db,520,0.004823344989750392
target,block_distribution,after,00fd90a66792cc016f218457a4f686c91ac8a8d5284bb0abe37e71e2f1f71bac,302,0.0028012503594319585
target,block_distribution,after,1b6b1324eef77b4453879de59a1d46b214beef17b5f8bf02a50bcaa795571181,465,0.00431318350044987
target,block_distribution,after,94b8b7a1e18eb8d11e4c6e09a464f1657729212238c722480a7521cfc0a51ac2,5,4.637831720913839e-05
target,year_distribution_total_variation,before_vs_after,total_variation_distance,107809,0.006571549608218534
target,block_distribution_total_variation,before_vs_after,total_variation_distance,107809,0.017894501549255766
