shot_number,year,spatial_block_id,spatial_fold,missing_reason
119300600200243747,2021,EPSG5070_50KM_27_19,1,DEM_MASKED
119300600200243886,2021,EPSG5070_50KM_27_19,1,DEM_MASKED
119300600200243931,2021,EPSG5070_50KM_27_19,1,DEM_MASKED
119300800200243597,2021,EPSG5070_50KM_26_19,1,DEM_MASKED
119300800200243817,2021,EPSG5070_50KM_27_19,1,DEM_MASKED
119300800200243869,2021,EPSG5070_50KM_27_19,1,DEM_MASKED
119300800200243873,2021,EPSG5070_50KM_27_19,1,DEM_MASKED
119300800200244026,2021,EPSG5070_50KM_27_19,1,DEM_MASKED
119301100200243765,2021,EPSG5070_50KM_27_19,1,DEM_MASKED
119301100200243776,2021,EPSG5070_50KM_27_19,1,DEM_MASKED
119301100200243959,2021,EPSG5070_50KM_27_19,1,DEM_MASKED
119301100200243965,2021,EPSG5070_50KM_27_19,1,DEM_MASKED
119301100200243981,2021,EPSG5070_50KM_27_19,1,DEM_MASKED
119301100200244033,2021,EPSG5070_50KM_27_19,1,DEM_MASKED
119301100200244045,2021,EPSG5070_50KM_27_19,1,DEM_MASKED
119301100200244088,2021,EPSG5070_50KM_27_19,1,DEM_MASKED
119911100200243893,2021,EPSG5070_50KM_26_19,1,DEM_MASKED
124990600300421808,2021,EPSG5070_50KM_29_23,3,DEM_MASKED
124990800300421447,2021,EPSG5070_50KM_29_24,2,DEM_MASKED
138560300300418944,2021,EPSG5070_50KM_31_27,4,DEM_MASKED
138560300300419004,2021,EPSG5070_50KM_31_27,4,DEM_MASKED
138560500300418919,2021,EPSG5070_50KM_31_27,4,DEM_MASKED
138560500300418920,2021,EPSG5070_50KM_31_27,4,DEM_MASKED
138560500300419096,2021,EPSG5070_50KM_31_27,4,DEM_MASKED
138560500300419128,2021,EPSG5070_50KM_31_27,4,DEM_MASKED
138560500300419155,2021,EPSG5070_50KM_31_27,4,DEM_MASKED
138560500300419172,2021,EPSG5070_50KM_31_27,4,DEM_MASKED
138560500300419247,2021,EPSG5070_50KM_31_26,0,DEM_MASKED
