scope,domain,year,image_count,frozen_sample_n,sampled_n,valid_hh_n,valid_hv_n,qa_land_n,valid_palsar_n,missing_fraction,block_id_hash,qa_class,qa_count
block,source,2019,,200.0,,,,,200.0,0.0,4f6ca159dddd59bca06537a1b56b5a724df4ba23cdbe25c6732a58a1f613195a,,
block,source,2019,,200.0,,,,,200.0,0.0,d073a0b573d782717c8966a2edb26f089ac0451eb2a4a50f92692124619713f7,,
block,source,2019,,200.0,,,,,200.0,0.0,bf8d0a042254778436df4d4e1d8731a8641bb035137aa21fc8babeabec8249dd,,
block,source,2019,,200.0,,,,,200.0,0.0,1499a3f7f17d1fc3746eac724e8454e24fb218aeca4e621b456bff17dcfbc7f9,,
block,source,2019,,200.0,,,,,199.0,0.0050000000000000044,f8dad9c262037b04f646de729fd2592e897f969e760ad8388f6d597a42bfadb7,,
block,source,2019,,200.0,,,,,198.0,0.010000000000000009,1475c71729c8f2b56431e5504c91db84a47cf0acdbf272cd743c4e5ded2e7ab5,,
block,source,2019,,200.0,,,,,200.0,0.0,52b0617c74d5b9ff49bf1cfa27c173b2354a573e914d261d246b77619993ca38,,
block,source,2019,,200.0,,,,,200.0,0.0,d0bc5a0efb4474d9a53872ebdf02d30af6b801c164a6190e2c939068b90ec6c0,,
block,source,2019,,200.0,,,,,199.0,0.0050000000000000044,27d234009cc05dc109fe88427f2d95b7cd73900c156845271175bcab9d14a007,,
block,source,2019,,200.0,,,,,199.0,0.0050000000000000044,f2be37b6e3ac10580b967d29ad5dbbc6d0beaa74123273576654d16f499053c8,,
block,source,2019,,200.0,,,,,195.0,0.025000000000000022,2c3de52b96617c835050d862f7073c36d3658d3535ae7ddf82036a7339fb860d,,
block,source,2019,,200.0,,,,,199.0,0.0050000000000000044,6976ecdc807998f23171a40ea7ca0e09ca32564823322f3f5d582dadfdca302e,,
block,source,2019,,200.0,,,,,198.0,0.010000000000000009,0a979bdd38772dc3028a6cf9e38ed56cbeb46c6c85a38b7afd0047196bf342ad,,
block,source,2019,,200.0,,,,,199.0,0.0050000000000000044,b45bfc272c7e7650ac6cb05e21dcbadaa16203b75f252a64f73421004ac9d339,,
block,source,2019,,200.0,,,,,199.0,0.0050000000000000044,8448b3b1c35ba2ea040d0b29ff22c162a0991d57bf1b91d467da28b9da7c019f,,
block,source,2019,,139.0,,,,,131.0,0.05755395683453235,b6e5eed1898ed2fda7d77a719791f07d59ef42ae50ca4e0b435a31895fa45adb,,
block,source,2019,,200.0,,,,,193.0,0.03500000000000003,fecbddc32b5955cd4ee2d0837a0050d166359d6f5b1af53f5212ae499b19f620,,
block,source,2019,,200.0,,,,,197.0,0.015000000000000013,dd4044916f8a489e1a3f714f1749f7702628692bc0b864d40d34b4b71936b2b9,,
qa_class,source,2019,,,,,,,,,,255.0,20463.0
qa_class,source,2019,,,,,,,,,,100.0,109.0
qa_class,source,2019,,,,,,,,,,50.0,49.0
year,source,2020,1.0,21538.0,20374.0,20374.0,20374.0,20242.0,20242.0,0.060172717986814006,,,
block,source,2020,,58.0,,,,,57.0,0.017241379310344862,c06ae9b14bf6e10c3cb2b50d93d4f4b8293e4f5eb5e169cb6f3a7a49b99db044,,
block,source,2020,,200.0,,,,,196.0,0.020000000000000018,ac600fcb95b98696dd4f1a1306c267bb5ce1341fde8b4eb4d38657fc795cd788,,
block,source,2020,,3.0,,,,,3.0,0.0,3c92c986107dfbde3ff9614cf537577ed94fa15d40cdd942e0089752468f4b3e,,
block,source,2020,,200.0,,,,,139.0,0.30500000000000005,807e3fc6eff363d23edda4459c3b8a9eddbfcbeeabb6cc43649156cb91808703,,
block,source,2020,,200.0,,,,,129.0,0.355,cfe52bfd828cd37698d3d46a834647d1259e827a120d63cf67edd20c151abbb0,,
block,source,2020,,200.0,,,,,112.0,0.43999999999999995,2a2a8faf97e9138790519394232d36927a1f9803f6d24a3b25ea38a11827ad83,,
block,source,2020,,200.0,,,,,189.0,0.05500000000000005,0f95ab57159274787a5de8d6570bdcfaaa30a28311621e5244d6bc8e54a51c34,,
block,source,2020,,200.0,,,,,200.0,0.0,a3fc42b5e41802f12519c3f4d0549f9b47fd5988ea928f4f41b69f67ebb51bcc,,
block,source,2020,,200.0,,,,,200.0,0.0,3daa04a37ee20c48b9f4a061425f09801800310d0bdbe1562c5e56d0efdb0873,,
block,source,2020,,200.0,,,,,199.0,0.0050000000000000044,0c7f782a6883b0e7dd96602c5d5ee5bad1082c995be1fd083fa7a9b948d0cf21,,
block,source,2020,,200.0,,,,,85.0,0.575,bf1ea9217fc36c2e1e31d80c2d663c4dc98aab6a06e743243954f53594506929,,
block,source,2020,,200.0,,,,,59.0,0.7050000000000001,9eea5483b5532a19ee2db0dced71e09a8ebf8d1084f9181974b40b96ae9dc3c5,,
block,source,2020,,200.0,,,,,191.0,0.04500000000000004,0aeba9ade7a591f40ca83ca17fe0c529ce88df383be1079ade1b79077f4fbeda,,
block,source,2020,,200.0,,,,,3.0,0.985,4509883a3b35bbfaedd522a56822c57172694539d7a0118ea489857cbeb939ba,,
block,source,2020,,200.0,,,,,195.0,0.025000000000000022,a68d8afc7b52ba0af7b0ef55c75e96029bfae80e3def182ba7d0f8abf0106349,,
block,source,2020,,200.0,,,,,197.0,0.015000000000000013,cc12075ac47d5dd2f788358561b5f6190500e6313217950c077baff616fe651b,,
block,source,2020,,200.0,,,,,196.0,0.020000000000000018,d481293cc2774e8084d647a76f7792aff7093032bf98585c8c7f04f9be89a075,,
block,source,2020,,200.0,,,,,120.0,0.4,70259620e5540f6f7260d41729c2dbef77e053f5146bff7bb6aacfe163e3c96a,,
block,source,2020,,200.0,,,,,62.0,0.69,67473297e43702a3c8a2e58252f27d20dff65b62f10b40eb4d48c18f121db71d,,
block,source,2020,,200.0,,,,,107.0,0.46499999999999997,ad6026125f5ff4343c6bb21b5415cf070d8fc4370e93172f1152388adb641849,,
block,source,2020,,200.0,,,,,103.0,0.485,5e8be6b2d7e2d419db94054e7478e1a86b013663e897eb65fb1aa49ba050308e,,
block,source,2020,,200.0,,,,,198.0,0.010000000000000009,6ea1c3dd7f05300fd40057addf8063e622e95708218d76fa3a5980a655630974,,
block,source,2020,,1.0,,,,,1.0,0.0,3c384ba67e04bb163c9b10f315848b5c98ec9b4fe2aebc2e0711d25e1c996858,,
