representation,method,budget,runs,N_train,N_test_mean,R2_mean,R2_sd,R2_median,RMSE_mean,RMSE_sd,RMSE_median,MAE_mean,MAE_sd,MAE_median,Bias_mean,Bias_sd,Bias_median
alphaearth,local_xgboost,500,15,500.0,26039.0,0.0794871207027056,0.01219695148318805,0.07945457374651499,84.25895748623829,3.8876989458408726,83.20352151787507,56.10284392474219,1.4055003589394937,56.38096047134486,0.4557052000616172,3.1402259521093683,0.27886451055335537
alphaearth,local_xgboost,1000,15,1000.0,26039.0,0.11069040044055053,0.008880004386009149,0.11017258338273361,82.83062162604298,4.076847174334362,81.79339552909987,54.72231755835836,1.2254784181433325,54.39530702673229,0.4481886064258534,3.0422812270403083,1.0219004646931023
alphaearth,local_xgboost,2500,15,2500.0,26039.0,0.13057598060171585,0.016821453117856752,0.13824175573734,81.90478967997043,4.257736697229085,80.66397620166033,53.65216693490394,1.351846084937162,53.380325539115894,0.0192503950784376,2.2777312980504245,-0.02063139608775644
conventional,affine,25,15,25.0,26039.0,-0.03406926008996623,0.1161425421661332,0.008165486530767319,89.17976008826757,6.107585139123671,86.29357870377129,61.624477292079185,5.211729836722729,60.07193281916384,0.5338011286633517,11.865032818973386,-1.7512254847812934
conventional,affine,50,15,50.0,26039.0,0.00955494614611078,0.04413872717859749,0.02670065448211889,87.39888750989131,4.7633135808619,85.26938150745534,60.074418553305726,3.4373628056664485,58.36764347970752,1.960681540081485,12.21489719361633,0.7069255646095377
conventional,affine,100,15,100.0,26039.0,0.02358428208899749,0.04073443228450361,0.03816375252323878,86.76720607426545,4.368934467649266,85.00536582832972,59.52478237468999,2.741182539354032,58.697193058454936,2.456489527461596,8.642181277881534,-0.5513091432404323
conventional,affine,250,15,250.0,26039.0,0.03767966352918235,0.009115340657824735,0.040019436722767754,86.15906355772367,4.12720219727127,85.1482961827359,58.69707616351278,1.7086770285945367,58.429654058526495,-0.07018811333844277,5.531017962860693,-1.111942648774827
conventional,affine,500,15,500.0,26039.0,0.04208731962424181,0.00517133278219375,0.044291570751181064,85.96179616006148,4.09627371992499,85.02750597333869,58.4668545797901,1.5113434444895815,58.26112914836824,-0.4184810838302949,3.207996014546215,-0.6582504255771385
conventional,affine,1000,15,1000.0,26039.0,0.04350210357656934,0.0029541213442931956,0.04354368826244914,85.89918735172556,4.106100419465962,85.05433980556859,58.535642774226055,1.4341260455033022,58.599977096680824,0.29418902170670963,2.951761825184816,0.5852345188122802
conventional,affine,2500,15,2500.0,26039.0,0.04409457774258562,0.0026847719410801802,0.045352276704050176,85.87150445454091,4.079153731668425,85.02140545019087,58.51426028124776,1.5602122317548168,58.36077503149222,0.13975894356793786,2.542444110162434,-0.6716619534939199
conventional,bias_only,25,15,25.0,26039.0,-0.46465937258702816,0.0801764051574155,-0.47022987024771234,106.17656241851425,3.851632047427664,103.86677243862856,75.6691471992171,2.87499436176079,74.67493291761934,1.6612204217597693,18.867945482241762,0.5920101896692098
