representation,budget,fold,seed,N_train,N_test,R2,RMSE,MAE,Bias
sentinel1_palsar_sentinel2,500,0,42,500,21343,0.03851917144390593,85.43193986244565,56.84813936118171,2.3190647989707407
alphaearth,500,0,42,500,21343,0.099718380508658,82.66832630309855,53.90147009557726,2.2606667517993384
dem,500,0,43,500,21343,-0.0516736474762991,89.34915489100727,60.77833208753856,0.7789866232454369
sentinel1_c,500,0,43,500,21343,-0.11542118068957596,92.01728111618276,61.90118791242276,3.1155322275539246
palsar_l,500,0,43,500,21343,-0.09345073272271676,91.10654203774922,61.056057458492866,2.1657042231324435
sentinel1_c_palsar_l,500,0,43,500,21343,-0.10689181796964342,91.66478874234434,61.57946255015914,4.063190683526771
sentinel1_sentinel2,500,0,43,500,21343,-0.09158586427149129,91.02881827110548,60.998803848758165,2.9032785296165473
palsar_sentinel2,500,0,43,500,21343,-0.043711805581029495,89.01029721643927,60.05529648455002,3.2656092502208263
sentinel1_palsar_sentinel2,500,0,43,500,21343,-0.07893716678704665,90.49988558507081,60.8500864956585,3.9825014658592814
alphaearth,500,0,43,500,21343,0.01999156087545062,86.251143394385,56.92895652069421,2.9841959651811885
dem,500,0,44,500,21343,-0.05346080074595028,89.42504005474657,62.15006282603042,9.092430933385339
sentinel1_c,500,0,44,500,21343,-0.0437544742956264,89.0121166440494,61.91800736677833,10.312477300019866
palsar_l,500,0,44,500,21343,-0.052919291985357386,89.40205359570786,62.56539163099593,11.069305590296727
sentinel1_c_palsar_l,500,0,44,500,21343,-0.026222570924127053,88.26138425457799,61.27142457412144,10.446911490241028
sentinel1_sentinel2,500,0,44,500,21343,0.028184421801024206,85.88985736689853,58.55145050320622,8.05665741016609
palsar_sentinel2,500,0,44,500,21343,0.014342243535166443,86.49938609684405,59.24838176579194,8.868294748319046
sentinel1_palsar_sentinel2,500,0,44,500,21343,0.022382220011441856,86.14587747012826,58.92610692997329,8.866624177139427
alphaearth,500,0,44,500,21343,0.09528616559079117,82.87157044542674,55.07002463262605,7.7241446273359315
dem,1000,0,42,1000,21343,-0.013550700872354549,87.7147626245548,59.45849096366214,2.754036420531963
sentinel1_c,1000,0,42,1000,21343,0.014221320471326737,86.5046919192404,58.03133990698714,2.8438700743993617
palsar_l,1000,0,42,1000,21343,0.0017974265467949335,87.04809993070873,58.67761077072986,2.8040306025779667
sentinel1_c_palsar_l,1000,0,42,1000,21343,0.027091156150787166,85.9381556443012,57.36657200844768,2.528627674964805
sentinel1_sentinel2,1000,0,42,1000,21343,0.058913725494580294,84.52100900158855,55.85334888826622,1.626875543460214
palsar_sentinel2,1000,0,42,1000,21343,0.053207539252497105,84.77686425954863,56.11555494703685,1.634157200533793
sentinel1_palsar_sentinel2,1000,0,42,1000,21343,0.0630433511454116,84.33535977439658,55.62512579290906,1.5622749967113423
alphaearth,1000,0,42,1000,21343,0.12540215870371108,81.48058788852354,52.55101323705158,1.942314408137374
dem,1000,0,43,1000,21343,-0.023174176073129216,88.13019650755702,59.84702113504188,2.8900389915496265
sentinel1_c,1000,0,43,1000,21343,-0.044393211988362324,89.03934847861457,60.127157172369664,3.3035777948579
palsar_l,1000,0,43,1000,21343,-0.061999563337044705,89.78672325127674,60.31091467688019,3.775855337638921
sentinel1_c_palsar_l,1000,0,43,1000,21343,-0.07054232916780956,90.14712388238495,60.25933155049103,4.301931774334327
sentinel1_sentinel2,1000,0,43,1000,21343,-0.004377550780248818,87.3169287893609,58.30908527513628,2.03361846927921
palsar_sentinel2,1000,0,43,1000,21343,-0.005998121827153424,87.3873436714079,58.32326932233838,3.0217589102409055
sentinel1_palsar_sentinel2,1000,0,43,1000,21343,-0.023976458153333713,88.16474166334363,58.41434142569583,2.8727846236619
alphaearth,1000,0,43,1000,21343,0.06542889148993236,84.22793024504654,55.07228505533944,2.775563179054575
dem,1000,0,44,1000,21343,-0.026292669035850702,88.26439863513258,60.70662186500471,6.31946649909965
sentinel1_c,1000,0,44,1000,21343,-0.0036225348770826393,87.28410345193876,59.44976913862008,5.538161630006619
palsar_l,1000,0,44,1000,21343,-0.021042583436853057,88.03834722814464,60.56399440460695,6.924673224456077
sentinel1_c_palsar_l,1000,0,44,1000,21343,-0.002250996924488824,87.22444238212455,59.433741672682686,6.07395514469019
sentinel1_sentinel2,1000,0,44,1000,21343,0.04478400370143831,85.15315558912818,57.42097405891796,6.170135232715485
palsar_sentinel2,1000,0,44,1000,21343,0.03295618855026072,85.67873155449543,57.95736785425008,6.474580383218021
sentinel1_palsar_sentinel2,1000,0,44,1000,21343,0.04041387315571632,85.34772192425535,57.63195853531314,6.497368673012957
alphaearth,1000,0,44,1000,21343,0.11145828117169243,82.12754958015162,53.84886550129973,5.162703957890695
dem,2500,0,42,2500,21343,0.004914829318981462,86.91206732807282,58.60037989440284,2.469148855390668
sentinel1_c,2500,0,42,2500,21343,0.027008825134068548,85.94179176401289,57.64389632115375,2.9204131830454263
palsar_l,2500,0,42,2500,21343,0.018586776246783288,86.31293923523174,58.11274998752698,2.8595964988671243
sentinel1_c_palsar_l,2500,0,42,2500,21343,0.03771739944083474,85.46755298217188,57.22159814463229,3.319184615527816
sentinel1_sentinel2,2500,0,42,2500,21343,0.07577144527854829,83.76057391233469,55.34800634387078,2.2569488910894284
palsar_sentinel2,2500,0,42,2500,21343,0.07034849019030964,84.00594908064444,55.62962230583524,2.316970483902421
sentinel1_palsar_sentinel2,2500,0,42,2500,21343,0.0768112199142239,83.7134445369013,55.256661210555535,2.3913419010164247
alphaearth,2500,0,42,2500,21343,0.14255662131811264,80.67754583875364,51.479106301287004,0.39805287590131383
dem,2500,0,43,2500,21343,-0.02654352026187623,88.27518497341579,60.34497654919254,5.171890221833696
sentinel1_c,2500,0,43,2500,21343,-0.006190339610939732,87.39569189734722,59.71247474248219,5.241042451914725
palsar_l,2500,0,43,2500,21343,0.0008170772054784115,87.09083504638984,59.45076148861685,4.614785698910273
sentinel1_c_palsar_l,2500,0,43,2500,21343,0.010959000970209742,86.64771228115126,58.88718371495062,4.777938364185717
sentinel1_sentinel2,2500,0,43,2500,21343,0.0269240428672034,85.94553598153215,57.788252198604916,3.9048876816656963
