representation,budget,fold,seed,bias_correction,affine_intercept,affine_slope
alphaearth,25,3,42,-46.9261596076123,246.28865455982486,-0.8115635557188077
conventional,25,3,42,-63.8554257676123,150.39163104540194,-0.1983396891642338
alphaearth,25,3,43,-22.57593614807617,85.89513134063355,0.3878182630433778
conventional,25,3,43,-28.95671710807616,72.53302274467696,0.44712869464127136
alphaearth,25,3,44,-50.144788080141595,84.81596772202816,0.19259969669288599
conventional,25,3,44,-71.23307280014158,72.74346978380203,0.2351558678685296
alphaearth,50,3,42,-52.89058838188476,103.32795302235664,0.07648119008078075
conventional,50,3,42,-48.23217618188477,91.0871920892077,0.1530601790250543
alphaearth,50,3,43,-27.21265289909668,90.85100342916877,0.3389819321630005
conventional,50,3,43,-44.76164037909667,48.16184890319606,0.5262819715127577
alphaearth,50,3,44,-57.90767738516358,36.6721027801222,0.46952560914488284
conventional,50,3,44,-79.29657724516358,50.66718341045676,0.34914545752333526
alphaearth,100,3,42,-49.51608155341979,45.34695852991532,0.4669247728241644
conventional,100,3,42,-57.310503713419806,86.60748027152341,0.22520076554988383
alphaearth,100,3,43,-31.195185288013917,77.30718706676637,0.39036476441229
conventional,100,3,43,-48.531763398013915,31.812649093442342,0.5886434460033378
alphaearth,100,3,44,-59.19729970481445,33.96630439584607,0.48862337243884785
conventional,100,3,44,-81.82238868481446,31.98754428812486,0.4443066043333022
alphaearth,250,3,42,-60.65818953330103,44.15990015803788,0.41682387911309504
conventional,250,3,42,-74.69624476130103,83.79318487342738,0.18209409622617242
alphaearth,250,3,43,-48.36189573906079,66.05878769513953,0.3465541734466004
conventional,250,3,43,-70.63737685306079,38.27551898221948,0.4482043220780304
alphaearth,250,3,44,-56.005731780121096,47.16704813443064,0.42782387840937064
conventional,250,3,44,-78.7980401321211,60.437526637241795,0.3144778568379997
alphaearth,500,3,42,-62.97816712594165,57.71310618671045,0.3418512002016298
conventional,500,3,42,-77.22673012294166,74.73897604288967,0.23105361655146975
alphaearth,500,3,43,-51.077548543788815,60.0243661623398,0.38113190467936336
conventional,500,3,43,-71.37407275464884,49.6850610584959,0.39416183319282283
alphaearth,500,3,44,-60.104367456268065,66.81936623495558,0.3106768442418673
conventional,500,3,44,-75.35566844326806,83.78286707804142,0.20183043675020193
alphaearth,1000,3,42,-57.5016933909942,59.99213800698801,0.3532015253820056
conventional,1000,3,42,-74.3804678764942,73.5248154350133,0.25500997673665116
alphaearth,1000,3,43,-55.58825039234516,62.86430250291348,0.34292927315407534
conventional,1000,3,43,-73.72547212177516,60.393354716541104,0.3240349654775561
alphaearth,1000,3,44,-58.81177124305481,65.6417994422411,0.31978971363491626
conventional,1000,3,44,-75.79732494505481,85.3750510646928,0.19393229115023639
alphaearth,2500,3,42,-56.665635122304366,61.56149167497541,0.34429152869988305
conventional,2500,3,42,-76.17074095498438,77.69220859631487,0.22995182909400014
alphaearth,2500,3,43,-57.7676000411063,59.442470640165226,0.34920893170239353
conventional,2500,3,43,-73.8341109245183,66.59825725711264,0.2841310764754764
alphaearth,2500,3,44,-56.91793865105422,65.8780107648036,0.325537708020373
conventional,2500,3,44,-75.37333461485422,83.4841130850888,0.20777395456878592
alphaearth,25,4,42,-64.36528110858643,-12.424315670596974,0.7139503225241726
conventional,25,4,42,-96.46890122858643,48.26666066220294,0.3226649385110109
