representation,outer_fold,inner_fold,model,config,R2,RMSE,MAE,Bias,N
sentinel1_c_palsar_l,4,3,random_forest,rf_sqrt,0.31774052799763086,89.39416376047801,59.82888831193882,-4.8039542671076685,15371
sentinel1_c_palsar_l,4,3,random_forest,rf_half,0.3157196519483976,89.526460161936,59.86010454673692,-4.72059384473854,15371
sentinel1_c_palsar_l,4,3,xgboost,xgb_depth6,0.3099826472899625,89.90097162917341,60.29041325253535,-4.471365226262714,15371
sentinel1_c_palsar_l,4,3,xgboost,xgb_depth8,0.2968444318647405,90.75281172014265,61.052443202259404,-4.800855596954414,15371
sentinel1_sentinel2,0,1,random_forest,rf_sqrt,0.40553334102056715,85.34481041869059,56.44748906763603,3.7720593246769947,14919
sentinel1_sentinel2,0,1,random_forest,rf_half,0.4061679939863696,85.29924116731081,56.350496832020696,5.056859107681912,14919
sentinel1_sentinel2,0,1,xgboost,xgb_depth6,0.4086722555949498,85.11919252108495,55.751728927319306,3.9026707012231032,14919
sentinel1_sentinel2,0,1,xgboost,xgb_depth8,0.40287376740850256,85.53550866667086,56.15946307905449,4.016484449821657,14919
sentinel1_sentinel2,0,2,random_forest,rf_sqrt,0.3692375529628975,87.02725646572969,55.5419597675204,2.0404609517112453,15172
sentinel1_sentinel2,0,2,random_forest,rf_half,0.3702099918390047,86.96014615281341,55.45545494155349,2.5943745216066394,15172
sentinel1_sentinel2,0,2,xgboost,xgb_depth6,0.369866608366494,86.98384977418543,55.04557659847182,0.4385791929569603,15172
sentinel1_sentinel2,0,2,xgboost,xgb_depth8,0.3635802390901369,87.41665938528205,55.33738149349799,0.503709435372375,15172
sentinel1_sentinel2,0,3,random_forest,rf_sqrt,0.41030147375254844,82.68853266756994,55.44368995151212,-2.572116578107562,15306
sentinel1_sentinel2,0,3,random_forest,rf_half,0.41500626597250545,82.35801511236956,55.085203202193696,-2.4311565546365097,15306
sentinel1_sentinel2,0,3,xgboost,xgb_depth6,0.4144630536918664,82.39624415806881,55.164022480240824,-1.4429212581346906,15306
sentinel1_sentinel2,0,3,xgboost,xgb_depth8,0.40864302328661317,82.80472640581009,55.388273420072316,-1.770562798496819,15306
sentinel1_sentinel2,0,4,random_forest,rf_sqrt,0.44140908127623013,78.17749652730089,55.55798304876552,-0.6021657521897891,14603
sentinel1_sentinel2,0,4,random_forest,rf_half,0.4460486326056141,77.8521557573056,55.1640022314876,-0.46938813756335607,14603
sentinel1_sentinel2,0,4,xgboost,xgb_depth6,0.44852268374762483,77.67811001414677,54.85285529122385,-0.7430513355999804,14603
sentinel1_sentinel2,0,4,xgboost,xgb_depth8,0.44267498368547087,78.08886170419315,55.165233546750684,-0.4410645091447462,14603
sentinel1_sentinel2,1,0,random_forest,rf_sqrt,0.4542636690516323,80.43112519735546,56.043877140729876,0.7906072913070094,14677
sentinel1_sentinel2,1,0,random_forest,rf_half,0.45316378791439726,80.51213515051558,55.94481925555227,1.2804321389720124,14677
sentinel1_sentinel2,1,0,xgboost,xgb_depth6,0.4522859521243595,80.57673227369645,55.57079049044045,-1.0899102265883367,14677
sentinel1_sentinel2,1,0,xgboost,xgb_depth8,0.44365767973374093,81.20892464717576,56.01873829252865,-0.6556450777139772,14677
sentinel1_sentinel2,1,2,random_forest,rf_sqrt,0.3669962633915831,87.49818584134849,55.795455084633964,1.7067852284748506,15250
sentinel1_sentinel2,1,2,random_forest,rf_half,0.3673026666799679,87.47700667968327,55.924805613279034,2.4678098564937283,15250
sentinel1_sentinel2,1,2,xgboost,xgb_depth6,0.36192959104003397,87.84766328841788,55.76244674048281,-0.6868045417252839,15250
sentinel1_sentinel2,1,2,xgboost,xgb_depth8,0.356391684981459,88.228061025136,56.235163986301544,-0.5675802691878572,15250
sentinel1_sentinel2,1,3,random_forest,rf_sqrt,0.4064072585367954,83.23393005426814,55.507305426172735,-1.770265285967491,15446
