representation,method,budget,fold,seed,N_train,N_test,R2,RMSE,MAE,Bias
conventional,bias_only,25,1,42,25,26059,-0.32874433638290346,110.01160703995309,75.34924403932129,0.5920101896692098
conventional,affine,25,1,42,25,26059,0.03954822511780831,93.53099993302303,61.85180068655271,2.4699859411887446
conventional,local_xgboost,25,1,42,25,26059,-0.10288003554425562,100.22635427780932,68.08463789802872,-1.4196452938727107
alphaearth,bias_only,25,1,43,25,26059,-0.23596706866756523,106.10143199940681,69.3320377993299,-30.473645479421
alphaearth,affine,25,1,43,25,26059,0.038977718792125304,93.55877441734447,60.120794295299895,-5.285542006203148
alphaearth,local_xgboost,25,1,43,25,26059,0.03648908953593599,93.6798343388997,60.55226405381933,-2.056827062323372
conventional,bias_only,25,1,43,25,26059,-0.3414996914798183,110.53837713731086,75.33784593081565,-10.794888267230188
conventional,affine,25,1,43,25,26059,-0.010639928312034419,95.94360260023963,62.631754399369136,-1.7512254847812934
conventional,local_xgboost,25,1,43,25,26059,-0.1157349996832715,100.80877190935054,68.16929795056915,-4.35382306503592
alphaearth,bias_only,25,1,44,25,26059,-0.13852694343267347,101.83321425586766,67.87478331698024,6.413479723374418
alphaearth,affine,25,1,44,25,26059,0.00023810466044271728,95.42586068808626,63.329991285868886,7.0938480181289165
alphaearth,local_xgboost,25,1,44,25,26059,-0.10925951975116721,100.51581027709547,70.0370331212937,12.349654819493319
conventional,bias_only,25,1,44,25,26059,-0.4455582880553173,114.74548334660679,81.90728421332315,32.62395961556521
conventional,affine,25,1,44,25,26059,-0.11356095068160421,100.71050929504528,68.89097273403969,2.5372041241400454
conventional,local_xgboost,25,1,44,25,26059,-0.22651356556673186,105.69488575168903,74.06385254685114,10.249197873407141
alphaearth,bias_only,50,1,42,50,26059,-0.1611596738465091,102.84040256854878,69.91320089002012,15.725062700729152
alphaearth,affine,50,1,42,50,26059,0.025153428803842526,94.22929240890706,63.799446581465666,11.32965091623252
